ID,SKU,name,description,current_price,current_stock,creation_date,last_update
30,SKU-00030,Disco SSD Crucial 3459,Unidad SSD para almacenamiento de datos,1478.35,41,2026-07-15 00:00:00,2026-09-21 00:00:00
31,SKU-00031,Teclado Logitech 4825,Teclado para computadora de uso diario,3000.77,47,2026-02-25 00:00:00,2026-08-29 00:00:00
32,SKU-00032,Laptop Dell 823,Equipo portátil para trabajo y estudio,7277.13,33,2026-03-10 00:00:00,2026-09-21 00:00:00
33,SKU-00033,Mouse Razer 374,Mouse óptico para computadora,3102.98,61,2026-04-10 00:00:00,2026-08-26 00:00:00
34,SKU-00034,Teclado Microsoft 2908,Teclado para computadora de uso diario,448.01,69,2025-08-06 00:00:00,2025-10-18 00:00:00
35,SKU-00035,Teclado HP 7675,Teclado para computadora de uso diario,2011.55,16,2025-08-17 00:00:00,2026-03-19 00:00:00
36,SKU-00036,Mouse Microsoft 2586,Mouse óptico para computadora,2015.28,56,2025-07-30 00:00:00,2026-01-27 00:00:00
37,SKU-00037,Laptop Acer 2659,Equipo portátil para trabajo y estudio,9822.25,10,2026-05-09 00:00:00,2026-09-21 00:00:00
38,SKU-00038,Disco SSD Kingston 7978,Unidad SSD para almacenamiento de datos,747.83,59,2025-07-12 00:00:00,2025-12-23 00:00:00
39,SKU-00039,Cable USB Baseus 2392,Cable USB para conexión y transferencia de datos,1566.46,123,2025-10-03 00:00:00,2025-10-18 00:00:00
40,SKU-00040,Audífonos JBL 3706,"Audífonos para música, llamadas y multimedia",882.32,61,2026-04-25 00:00:00,2026-07-12 00:00:00
41,SKU-00041,Disco SSD Samsung 9133,Unidad SSD para almacenamiento de datos,908.79,16,2026-06-22 00:00:00,2026-09-21 00:00:00
42,SKU-00042,Laptop HP 1621,Equipo portátil para trabajo y estudio,9379.02,6,2026-02-25 00:00:00,2026-05-03 00:00:00
43,SKU-00043,Cable USB Amazon Basics 1189,Cable USB para conexión y transferencia de datos,1023.03,144,2025-11-12 00:00:00,2025-11-16 00:00:00
44,SKU-00044,Audífonos HyperX 2732,"Audífonos para música, llamadas y multimedia",1522.16,7,2026-02-07 00:00:00,2026-03-10 00:00:00
45,SKU-00045,Laptop HP 9028,Equipo portátil para trabajo y estudio,20104.21,23,2025-10-04 00:00:00,2026-05-08 00:00:00
46,SKU-00046,Memoria USB Kingston 1235,Memoria USB para almacenamiento y transferencia de archivos,1525.19,116,2025-10-10 00:00:00,2026-05-06 00:00:00
47,SKU-00047,Cable USB Baseus 7744,Cable USB para conexión y transferencia de datos,908.3,96,2026-03-29 00:00:00,2026-09-21 00:00:00
48,SKU-00048,Mouse Genius 3666,Mouse óptico para computadora,516.43,84,2025-10-15 00:00:00,2026-03-17 00:00:00
49,SKU-00049,Audífonos Philips 2802,"Audífonos para música, llamadas y multimedia",892.98,82,2025-07-30 00:00:00,2025-08-11 00:00:00
50,SKU-00050,Laptop HP 933,Equipo portátil para trabajo y estudio,23000.61,25,2025-08-28 00:00:00,2026-03-29 00:00:00
51,SKU-00051,Audífonos HyperX 1781,"Audífonos para música, llamadas y multimedia",1315.23,65,2025-01-05 00:00:00,2025-06-19 00:00:00
52,SKU-00052,Router Netgear 1438,Router inalámbrico para conexión de red,2020.64,22,2026-03-24 00:00:00,2026-05-24 00:00:00
53,SKU-00053,Memoria USB ADATA 7526,Memoria USB para almacenamiento y transferencia de archivos,1134.51,59,2026-08-09 00:00:00,2026-09-21 00:00:00
54,SKU-00054,Cable USB Amazon Basics 2757,Cable USB para conexión y transferencia de datos,378.35,65,2026-03-08 00:00:00,2026-09-21 00:00:00
55,SKU-00055,Audífonos Philips 7368,"Audífonos para música, llamadas y multimedia",1066.59,35,2026-04-21 00:00:00,2026-08-19 00:00:00
56,SKU-00056,Mouse Razer 6624,Mouse óptico para computadora,2535.46,10,2025-09-19 00:00:00,2025-12-31 00:00:00
57,SKU-00057,Memoria USB PNY 5726,Memoria USB para almacenamiento y transferencia de archivos,1130.13,61,2025-06-15 00:00:00,2025-07-14 00:00:00
58,SKU-00058,Teclado Redragon 1809,Teclado para computadora de uso diario,698.98,92,2025-01-14 00:00:00,2025-02-27 00:00:00
59,SKU-00059,Webcam Trust 5008,Cámara web para videollamadas,663.53,10,2026-07-15 00:00:00,2026-08-06 00:00:00
60,SKU-00060,Webcam Trust 4493,Cámara web para videollamadas,504.74,10,2026-03-19 00:00:00,2026-09-16 00:00:00
61,SKU-00061,Audífonos JBL 2908,"Audífonos para música, llamadas y multimedia",1829.69,34,2026-02-18 00:00:00,2026-04-23 00:00:00
62,SKU-00062,Webcam HP 4918,Cámara web para videollamadas,848.46,96,2026-03-31 00:00:00,2026-09-21 00:00:00
63,SKU-00063,Laptop ASUS 8318,Equipo portátil para trabajo y estudio,12004.88,34,2026-02-04 00:00:00,2026-05-14 00:00:00
64,SKU-00064,Monitor AOC 4525,Monitor para computadora de alta resolución,9762.66,48,2025-11-18 00:00:00,2025-11-28 00:00:00
65,SKU-00065,Webcam AverMedia 7665,Cámara web para videollamadas,2203.54,26,2026-01-06 00:00:00,2026-04-16 00:00:00
66,SKU-00066,Monitor Samsung 2016,Monitor para computadora de alta resolución,5880.1,18,2026-01-09 00:00:00,2026-03-27 00:00:00
67,SKU-00067,Audífonos Logitech 5074,"Audífonos para música, llamadas y multimedia",2782.87,10,2025-06-27 00:00:00,2025-07-02 00:00:00
68,SKU-00068,Audífonos Sony 4838,"Audífonos para música, llamadas y multimedia",1400.69,31,2025-03-04 00:00:00,2025-03-24 00:00:00
69,SKU-00069,Mouse Razer 4166,Mouse óptico para computadora,2519.21,61,2026-04-20 00:00:00,2026-05-21 00:00:00
70,SKU-00070,Webcam Microsoft 7586,Cámara web para videollamadas,3212.95,23,2026-06-06 00:00:00,2026-09-21 00:00:00
71,SKU-00071,Teclado HP 6531,Teclado para computadora de uso diario,587.54,35,2025-09-06 00:00:00,2026-02-16 00:00:00
72,SKU-00072,Audífonos JBL 2388,"Audífonos para música, llamadas y multimedia",2452.33,99,2025-11-15 00:00:00,2026-06-25 00:00:00
73,SKU-00073,Teclado Microsoft 7306,Teclado para computadora de uso diario,2256.55,49,2025-01-29 00:00:00,2025-07-05 00:00:00
74,SKU-00074,Teclado Redragon 3649,Teclado para computadora de uso diario,427.39,92,2026-05-31 00:00:00,2026-08-25 00:00:00
75,SKU-00075,Monitor Samsung 9543,Monitor para computadora de alta resolución,10819.93,43,2025-02-21 00:00:00,2025-05-14 00:00:00
76,SKU-00076,Teclado Redragon 7524,Teclado para computadora de uso diario,378.41,63,2025-04-21 00:00:00,2025-10-13 00:00:00
77,SKU-00077,Mouse Microsoft 9239,Mouse óptico para computadora,1612.02,56,2025-08-22 00:00:00,2026-04-17 00:00:00
78,SKU-00078,Router D-Link 4847,Router inalámbrico para conexión de red,2948.21,57,2026-08-07 00:00:00,2026-09-21 00:00:00
79,SKU-00079,Cable USB Belkin 4348,Cable USB para conexión y transferencia de datos,157.62,137,2026-07-15 00:00:00,2026-09-21 00:00:00
80,SKU-00080,Disco SSD Kingston 6734,Unidad SSD para almacenamiento de datos,3903.76,43,2025-06-28 00:00:00,2025-08-10 00:00:00
81,SKU-00081,Monitor Samsung 3193,Monitor para computadora de alta resolución,4985.1,26,2025-08-18 00:00:00,2026-02-06 00:00:00
82,SKU-00082,Cable USB UGREEN 7119,Cable USB para conexión y transferencia de datos,955.54,120,2026-08-06 00:00:00,2026-09-21 00:00:00
83,SKU-00083,Audífonos Philips 4095,"Audífonos para música, llamadas y multimedia",2651.74,68,2026-05-30 00:00:00,2026-09-21 00:00:00
84,SKU-00084,Cable USB Amazon Basics 209,Cable USB para conexión y transferencia de datos,1713.19,112,2026-06-30 00:00:00,2026-09-21 00:00:00
85,SKU-00085,Disco SSD Samsung 623,Unidad SSD para almacenamiento de datos,4408.3,46,2025-03-16 00:00:00,2025-09-11 00:00:00
86,SKU-00086,Audífonos Logitech 7836,"Audífonos para música, llamadas y multimedia",1926.76,90,2025-03-11 00:00:00,2025-08-05 00:00:00
87,SKU-00087,Mouse Genius 4691,Mouse óptico para computadora,498.9,100,2025-11-11 00:00:00,2025-12-11 00:00:00
88,SKU-00088,Cable USB UGREEN 7993,Cable USB para conexión y transferencia de datos,543.91,89,2025-05-28 00:00:00,2025-08-24 00:00:00
89,SKU-00089,Teclado Redragon 9043,Teclado para computadora de uso diario,3261.81,71,2026-06-08 00:00:00,2026-09-21 00:00:00
90,SKU-00090,Teclado Logitech 6677,Teclado para computadora de uso diario,1950.89,41,2025-03-07 00:00:00,2025-04-13 00:00:00
91,SKU-00091,Memoria USB PNY 1678,Memoria USB para almacenamiento y transferencia de archivos,752.89,26,2026-03-29 00:00:00,2026-07-10 00:00:00
92,SKU-00092,Webcam Trust 623,Cámara web para videollamadas,619.53,31,2025-07-07 00:00:00,2025-11-07 00:00:00
93,SKU-00093,Router Huawei 7920,Router inalámbrico para conexión de red,1230.48,57,2025-07-23 00:00:00,2026-01-21 00:00:00
94,SKU-00094,Audífonos Logitech 5092,"Audífonos para música, llamadas y multimedia",2622.03,75,2026-08-11 00:00:00,2026-09-21 00:00:00
95,SKU-00095,Disco SSD Kingston 8356,Unidad SSD para almacenamiento de datos,1643.25,59,2025-04-17 00:00:00,2025-08-21 00:00:00
96,SKU-00096,Laptop HP 3831,Equipo portátil para trabajo y estudio,26447.16,16,2025-10-20 00:00:00,2026-02-21 00:00:00
97,SKU-00097,Cable USB Steren 6782,Cable USB para conexión y transferencia de datos,827.82,124,2025-11-20 00:00:00,2026-06-11 00:00:00
98,SKU-00098,Laptop Dell 4909,Equipo portátil para trabajo y estudio,12215.46,16,2025-04-29 00:00:00,2025-12-02 00:00:00
99,SKU-00099,Mouse Microsoft 6503,Mouse óptico para computadora,1303.23,5,2026-06-26 00:00:00,2026-07-02 00:00:00
100,SKU-00100,Memoria USB SanDisk 8661,Memoria USB para almacenamiento y transferencia de archivos,1495.73,136,2025-01-20 00:00:00,2025-08-13 00:00:00
101,SKU-00101,Monitor Dell 5725,Monitor para computadora de alta resolución,5820.68,28,2026-05-04 00:00:00,2026-06-12 00:00:00
102,SKU-00102,Webcam HP 759,Cámara web para videollamadas,1226.12,45,2025-03-18 00:00:00,2025-06-28 00:00:00
103,SKU-00103,Disco SSD Crucial 4729,Unidad SSD para almacenamiento de datos,3875.85,69,2026-07-28 00:00:00,2026-09-21 00:00:00
104,SKU-00104,Cable USB Baseus 5421,Cable USB para conexión y transferencia de datos,550.14,56,2026-05-15 00:00:00,2026-09-21 00:00:00
105,SKU-00105,Memoria USB SanDisk 2087,Memoria USB para almacenamiento y transferencia de archivos,1674.15,53,2025-04-30 00:00:00,2025-09-21 00:00:00
106,SKU-00106,Disco SSD Crucial 9950,Unidad SSD para almacenamiento de datos,4013.17,19,2026-05-08 00:00:00,2026-08-18 00:00:00
107,SKU-00107,Mouse Razer 2079,Mouse óptico para computadora,2084.22,21,2025-04-26 00:00:00,2025-07-03 00:00:00
108,SKU-00108,Router Huawei 9797,Router inalámbrico para conexión de red,1675.73,86,2026-02-08 00:00:00,2026-06-18 00:00:00
109,SKU-00109,Audífonos Sony 7337,"Audífonos para música, llamadas y multimedia",996.93,53,2025-01-01 00:00:00,2025-05-08 00:00:00
110,SKU-00110,Router Tenda 5594,Router inalámbrico para conexión de red,2616.56,40,2025-07-24 00:00:00,2025-12-07 00:00:00
111,SKU-00111,Router Tenda 9045,Router inalámbrico para conexión de red,631.2,38,2026-01-27 00:00:00,2026-06-26 00:00:00
112,SKU-00112,Mouse HP 1051,Mouse óptico para computadora,1004.28,43,2026-02-03 00:00:00,2026-07-16 00:00:00
113,SKU-00113,Monitor Dell 5823,Monitor para computadora de alta resolución,2719.47,43,2025-05-23 00:00:00,2025-08-30 00:00:00
114,SKU-00114,Memoria USB ADATA 2051,Memoria USB para almacenamiento y transferencia de archivos,257.02,137,2025-10-29 00:00:00,2026-06-04 00:00:00
115,SKU-00115,Monitor Dell 5476,Monitor para computadora de alta resolución,3666.38,49,2026-01-02 00:00:00,2026-03-23 00:00:00
116,SKU-00116,Cable USB Belkin 9149,Cable USB para conexión y transferencia de datos,980.94,33,2025-04-24 00:00:00,2025-10-22 00:00:00
117,SKU-00117,Disco SSD Kingston 5605,Unidad SSD para almacenamiento de datos,2734.71,73,2026-05-14 00:00:00,2026-08-22 00:00:00
118,SKU-00118,Audífonos HyperX 3011,"Audífonos para música, llamadas y multimedia",2232.73,34,2026-07-26 00:00:00,2026-09-21 00:00:00
119,SKU-00119,Disco SSD ADATA 8936,Unidad SSD para almacenamiento de datos,783.86,58,2026-06-05 00:00:00,2026-09-21 00:00:00
120,SKU-00120,Webcam Microsoft 8418,Cámara web para videollamadas,2980.45,20,2025-10-25 00:00:00,2026-02-23 00:00:00
121,SKU-00121,Teclado Redragon 4277,Teclado para computadora de uso diario,834.17,59,2026-02-02 00:00:00,2026-03-18 00:00:00
122,SKU-00122,Teclado Logitech 1296,Teclado para computadora de uso diario,2236.36,31,2026-03-14 00:00:00,2026-08-21 00:00:00
123,SKU-00123,Memoria USB PNY 3932,Memoria USB para almacenamiento y transferencia de archivos,1233.75,76,2026-01-04 00:00:00,2026-05-03 00:00:00
124,SKU-00124,Monitor AOC 1252,Monitor para computadora de alta resolución,11685.41,49,2026-06-24 00:00:00,2026-07-27 00:00:00
125,SKU-00125,Mouse Razer 5422,Mouse óptico para computadora,784.93,86,2026-05-01 00:00:00,2026-09-21 00:00:00
126,SKU-00126,Teclado Logitech 9698,Teclado para computadora de uso diario,481.67,71,2026-01-29 00:00:00,2026-07-02 00:00:00
127,SKU-00127,Audífonos HyperX 5690,"Audífonos para música, llamadas y multimedia",1588.92,7,2025-09-26 00:00:00,2026-01-14 00:00:00
128,SKU-00128,Webcam Logitech 6236,Cámara web para videollamadas,965.4,95,2025-06-04 00:00:00,2025-12-04 00:00:00
129,SKU-00129,Audífonos Philips 1686,"Audífonos para música, llamadas y multimedia",3466.42,95,2026-01-01 00:00:00,2026-08-31 00:00:00
130,SKU-00130,Webcam Trust 9185,Cámara web para videollamadas,1685.36,33,2026-06-28 00:00:00,2026-09-21 00:00:00
131,SKU-00131,Cable USB Steren 6482,Cable USB para conexión y transferencia de datos,442.18,129,2026-01-03 00:00:00,2026-08-14 00:00:00
132,SKU-00132,Laptop HP 4209,Equipo portátil para trabajo y estudio,11813.86,8,2025-12-22 00:00:00,2026-08-08 00:00:00
133,SKU-00133,Laptop ASUS 3172,Equipo portátil para trabajo y estudio,12936.74,17,2025-08-11 00:00:00,2026-02-26 00:00:00
134,SKU-00134,Audífonos Logitech 6204,"Audífonos para música, llamadas y multimedia",3361.57,55,2026-05-22 00:00:00,2026-05-28 00:00:00
135,SKU-00135,Cable USB Amazon Basics 9535,Cable USB para conexión y transferencia de datos,102.95,147,2025-08-12 00:00:00,2025-08-15 00:00:00
136,SKU-00136,Disco SSD Samsung 9944,Unidad SSD para almacenamiento de datos,4459.65,78,2026-02-21 00:00:00,2026-04-16 00:00:00
137,SKU-00137,Cable USB Amazon Basics 1757,Cable USB para conexión y transferencia de datos,1551.21,30,2025-10-16 00:00:00,2026-02-12 00:00:00
138,SKU-00138,Disco SSD Samsung 9211,Unidad SSD para almacenamiento de datos,2406.2,74,2026-02-13 00:00:00,2026-05-14 00:00:00
139,SKU-00139,Router D-Link 5081,Router inalámbrico para conexión de red,1446.87,35,2025-10-08 00:00:00,2025-11-03 00:00:00
140,SKU-00140,Teclado Logitech 7652,Teclado para computadora de uso diario,2736.74,79,2026-01-12 00:00:00,2026-04-20 00:00:00
141,SKU-00141,Audífonos Logitech 8832,"Audífonos para música, llamadas y multimedia",1220.67,90,2026-08-09 00:00:00,2026-09-21 00:00:00
142,SKU-00142,Disco SSD Western Digital 6192,Unidad SSD para almacenamiento de datos,2792.58,35,2026-05-30 00:00:00,2026-08-29 00:00:00
143,SKU-00143,Monitor ASUS 6431,Monitor para computadora de alta resolución,8129.9,32,2025-01-21 00:00:00,2025-05-27 00:00:00
144,SKU-00144,Monitor Dell 5305,Monitor para computadora de alta resolución,11051.51,34,2025-03-25 00:00:00,2025-06-01 00:00:00
145,SKU-00145,Memoria USB ADATA 144,Memoria USB para almacenamiento y transferencia de archivos,1539.76,32,2026-08-24 00:00:00,2026-09-21 00:00:00
146,SKU-00146,Monitor ASUS 2578,Monitor para computadora de alta resolución,8606.0,18,2025-05-28 00:00:00,2025-11-29 00:00:00
147,SKU-00147,Webcam AverMedia 9975,Cámara web para videollamadas,414.99,81,2026-04-17 00:00:00,2026-06-24 00:00:00
148,SKU-00148,Audífonos Sony 3329,"Audífonos para música, llamadas y multimedia",2950.17,80,2025-11-29 00:00:00,2026-06-24 00:00:00
149,SKU-00149,Cable USB Baseus 3613,Cable USB para conexión y transferencia de datos,1464.26,53,2026-05-14 00:00:00,2026-08-31 00:00:00
150,SKU-00150,Router Tenda 944,Router inalámbrico para conexión de red,2822.43,9,2025-06-07 00:00:00,2025-09-25 00:00:00
151,SKU-00151,Disco SSD ADATA 8298,Unidad SSD para almacenamiento de datos,3917.9,12,2025-02-20 00:00:00,2025-10-27 00:00:00
152,SKU-00152,Webcam Logitech 2104,Cámara web para videollamadas,2667.5,94,2025-01-19 00:00:00,2025-09-01 00:00:00
153,SKU-00153,Cable USB UGREEN 4157,Cable USB para conexión y transferencia de datos,390.4,28,2025-04-19 00:00:00,2025-09-13 00:00:00
154,SKU-00154,Cable USB Steren 5987,Cable USB para conexión y transferencia de datos,564.28,58,2025-07-31 00:00:00,2025-10-22 00:00:00
155,SKU-00155,Teclado HP 9885,Teclado para computadora de uso diario,1935.32,17,2026-08-04 00:00:00,2026-09-21 00:00:00
156,SKU-00156,Audífonos Philips 3902,"Audífonos para música, llamadas y multimedia",3110.29,79,2025-01-05 00:00:00,2025-05-13 00:00:00
157,SKU-00157,Laptop ASUS 562,Equipo portátil para trabajo y estudio,19871.66,27,2026-05-15 00:00:00,2026-09-21 00:00:00
158,SKU-00158,Webcam Logitech 7624,Cámara web para videollamadas,770.05,18,2025-08-28 00:00:00,2026-03-16 00:00:00
159,SKU-00159,Monitor ASUS 1014,Monitor para computadora de alta resolución,4335.82,21,2025-04-21 00:00:00,2025-05-26 00:00:00
160,SKU-00160,Webcam Microsoft 9952,Cámara web para videollamadas,586.63,97,2026-01-20 00:00:00,2026-06-27 00:00:00
161,SKU-00161,Mouse Razer 7799,Mouse óptico para computadora,3135.69,91,2026-06-01 00:00:00,2026-07-22 00:00:00
162,SKU-00162,Teclado Logitech 2165,Teclado para computadora de uso diario,1078.47,90,2025-01-17 00:00:00,2025-04-18 00:00:00
163,SKU-00163,Monitor ASUS 9369,Monitor para computadora de alta resolución,4270.48,48,2026-06-22 00:00:00,2026-08-13 00:00:00
164,SKU-00164,Laptop ASUS 2436,Equipo portátil para trabajo y estudio,12903.43,3,2025-09-30 00:00:00,2026-04-03 00:00:00
165,SKU-00165,Disco SSD Samsung 321,Unidad SSD para almacenamiento de datos,3087.24,5,2026-06-06 00:00:00,2026-09-21 00:00:00
166,SKU-00166,Router D-Link 8066,Router inalámbrico para conexión de red,1922.07,9,2025-02-02 00:00:00,2025-04-01 00:00:00
167,SKU-00167,Router Huawei 6330,Router inalámbrico para conexión de red,400.99,46,2025-02-06 00:00:00,2025-03-20 00:00:00
168,SKU-00168,Router Huawei 3598,Router inalámbrico para conexión de red,1091.98,14,2026-04-07 00:00:00,2026-04-10 00:00:00
169,SKU-00169,Audífonos HyperX 9732,"Audífonos para música, llamadas y multimedia",1743.41,88,2026-05-30 00:00:00,2026-09-05 00:00:00
170,SKU-00170,Laptop Dell 4573,Equipo portátil para trabajo y estudio,23957.3,26,2025-07-06 00:00:00,2026-01-27 00:00:00
171,SKU-00171,Teclado Redragon 8938,Teclado para computadora de uso diario,3315.93,8,2025-11-26 00:00:00,2026-05-24 00:00:00
172,SKU-00172,Cable USB Belkin 7558,Cable USB para conexión y transferencia de datos,434.03,10,2025-04-04 00:00:00,2025-05-12 00:00:00
173,SKU-00173,Monitor LG 8882,Monitor para computadora de alta resolución,8977.39,49,2026-04-12 00:00:00,2026-05-28 00:00:00
174,SKU-00174,Mouse Razer 3945,Mouse óptico para computadora,3200.51,40,2026-05-09 00:00:00,2026-09-21 00:00:00
175,SKU-00175,Cable USB Steren 2263,Cable USB para conexión y transferencia de datos,1656.8,43,2026-04-26 00:00:00,2026-04-26 00:00:00
176,SKU-00176,Router Huawei 3581,Router inalámbrico para conexión de red,2156.96,73,2025-09-20 00:00:00,2025-11-29 00:00:00
177,SKU-00177,Webcam Trust 9894,Cámara web para videollamadas,3134.07,90,2025-08-27 00:00:00,2026-02-13 00:00:00
178,SKU-00178,Teclado Microsoft 3295,Teclado para computadora de uso diario,3015.86,52,2026-08-10 00:00:00,2026-09-21 00:00:00
179,SKU-00179,Mouse HP 548,Mouse óptico para computadora,1413.96,26,2026-01-24 00:00:00,2026-07-26 00:00:00
180,SKU-00180,Router TP-Link 9047,Router inalámbrico para conexión de red,1359.39,91,2025-03-15 00:00:00,2025-05-21 00:00:00
181,SKU-00181,Monitor LG 3834,Monitor para computadora de alta resolución,4077.78,3,2026-01-24 00:00:00,2026-04-30 00:00:00
182,SKU-00182,Monitor Dell 7906,Monitor para computadora de alta resolución,8791.33,47,2026-04-21 00:00:00,2026-09-21 00:00:00
183,SKU-00183,Mouse Razer 1854,Mouse óptico para computadora,874.24,36,2025-06-16 00:00:00,2025-08-23 00:00:00
184,SKU-00184,Cable USB Baseus 6874,Cable USB para conexión y transferencia de datos,561.4,92,2026-04-30 00:00:00,2026-09-21 00:00:00
185,SKU-00185,Monitor Dell 3505,Monitor para computadora de alta resolución,2706.17,41,2025-08-29 00:00:00,2026-03-10 00:00:00
186,SKU-00186,Audífonos Logitech 8915,"Audífonos para música, llamadas y multimedia",1002.89,39,2025-07-14 00:00:00,2025-08-09 00:00:00
187,SKU-00187,Disco SSD Kingston 3397,Unidad SSD para almacenamiento de datos,4001.23,58,2025-11-26 00:00:00,2026-06-21 00:00:00
188,SKU-00188,Mouse HP 7729,Mouse óptico para computadora,978.5,27,2025-12-10 00:00:00,2026-06-23 00:00:00
189,SKU-00189,Teclado Genius 8313,Teclado para computadora de uso diario,535.45,89,2025-01-16 00:00:00,2025-06-30 00:00:00
190,SKU-00190,Teclado Redragon 829,Teclado para computadora de uso diario,2000.01,87,2025-02-17 00:00:00,2025-10-17 00:00:00
191,SKU-00191,Memoria USB Verbatim 9475,Memoria USB para almacenamiento y transferencia de archivos,881.06,26,2025-10-16 00:00:00,2026-02-10 00:00:00
192,SKU-00192,Mouse HP 5282,Mouse óptico para computadora,1245.0,80,2026-03-06 00:00:00,2026-06-30 00:00:00
193,SKU-00193,Audífonos Sony 6634,"Audífonos para música, llamadas y multimedia",1037.62,93,2026-07-12 00:00:00,2026-07-12 00:00:00
194,SKU-00194,Audífonos Logitech 738,"Audífonos para música, llamadas y multimedia",1183.58,45,2025-10-12 00:00:00,2026-04-29 00:00:00
195,SKU-00195,Webcam Logitech 4226,Cámara web para videollamadas,1675.76,28,2026-06-29 00:00:00,2026-09-21 00:00:00
196,SKU-00196,Router Tenda 6612,Router inalámbrico para conexión de red,2210.76,74,2025-04-22 00:00:00,2025-08-31 00:00:00
197,SKU-00197,Mouse Logitech 7791,Mouse óptico para computadora,2513.05,76,2026-04-05 00:00:00,2026-04-13 00:00:00
198,SKU-00198,Laptop ASUS 2383,Equipo portátil para trabajo y estudio,10635.9,2,2025-12-14 00:00:00,2026-07-06 00:00:00
